선택 직무,질문 구성,번호,질문,모범 답변
법무/컴플라이언스,직무관련1,9,컴플라이언스 프로그램이 뭔지 설명해 주실 수 있나요?,
법무/컴플라이언스,직무관련1,10,영업비밀 보호법에 대해 아시나요? 간단히 설명해 주세요.,
법무/컴플라이언스,직무관련1,11,근로기준법의 주요 내용을 알고 계신가요?,
법무/컴플라이언스,직무관련1,12,내부 통제 시스템이 뭔지 설명해 주시겠어요?,
법무/컴플라이언스,직무관련1,13,부정청탁금지법(김영란법)의 주요 내용을 설명해 주세요.,
법무/컴플라이언스,직무관련1,14,법률 자문과 법률 검토의 차이를 설명해 주실 수 있나요?,
법무/컴플라이언스,직무관련1,15,분쟁 해결 방법으로 소송 외에 어떤 것들이 있나요?,
법무/컴플라이언스,직무관련1,16,기업 지배구조와 관련된 법률을 아는 대로 말씀해 주세요.,
법무/컴플라이언스,직무관련1,17,ESG 경영과 법무의 관계를 어떻게 생각하시나요?,
법무/컴플라이언스,직무관련1,18,법인의 대표이사가 가지는 법적 책임은 뭐가 있나요?,
법무/컴플라이언스,직무관련1,19,준법 교육의 중요성에 대해 어떻게 생각하시나요?,
법무/컴플라이언스,직무관련1,20,글로벌 기업이 준수해야 하는 주요 국제 규범을 아시나요?,
법무/컴플라이언스,직무관련2,1,법률 검토 요청이 들어왔을 때 어떤 순서로 검토하시겠어요?,
법무/컴플라이언스,직무관련2,2,타 부서에서 법률 자문을 요청했을 때 어떻게 대응하시겠어요?,
법무/컴플라이언스,직무관련2,3,계약서 드래프팅 경험이 있으신가요? 어떤 계약서를 작성해보셨나요?,
법무/컴플라이언스,직무관련2,4,법률 리서치는 주로 어떤 방법으로 하시나요?,
법무/컴플라이언스,직무관련2,5,컴플라이언스 위반 사례가 발견됐을 때 어떻게 대응하시겠어요?,
법무/컴플라이언스,직무관련2,6,사내 변호사와 외부 로펌의 역할 분담은 어떻게 하는 게 좋을까요?,
법무/컴플라이언스,직무관련2,7,법률 의견서를 작성해본 경험이 있으신가요?,
법무/컴플라이언스,직무관련2,8,준법 교육 프로그램을 기획한다면 어떤 내용을 포함하시겠어요?,
법무/컴플라이언스,직무관련2,9,소송 대응 절차를 어떻게 진행하시겠어요?,
법무/컴플라이언스,직무관련2,10,법률 이슈를 비법률 부서 직원들에게 어떻게 설명하시겠어요?,
법무/컴플라이언스,직무관련2,11,컴플라이언스 리스크를 사전에 파악하는 방법은 뭐가 있을까요?,
법무/컴플라이언스,직무관련2,12,내부 감사에 협조한 경험이 있으신가요?,
법무/컴플라이언스,직무관련2,13,법률 모니터링은 어떤 방식으로 하시겠어요?,
법무/컴플라이언스,직무관련2,14,개인정보 유출 사고가 발생했을 때 법무 담당자로서 어떻게 대응하시겠어요?,
법무/컴플라이언스,직무관련2,15,내부 규정 정비가 필요할 때 어떤 절차로 진행하시겠어요?,
법무/컴플라이언스,직무관련2,16,해외 법인의 법률 이슈를 지원한 경험이 있으신가요?,
법무/컴플라이언스,직무관련2,17,임직원 행동 강령을 수립한다면 어떤 내용을 담으시겠어요?,
법무/컴플라이언스,직무관련2,18,법률 문서 관리 시스템은 어떻게 구축하는 게 좋을까요?,
법무/컴플라이언스,직무관련2,19,법률 트렌드를 파악하기 위해 평소에 어떤 노력을 하시나요?,
법무/컴플라이언스,직무관련2,20,이해관계자들과 법률 이슈를 협의할 때 어떤 점을 중요하게 생각하시나요?,
법무/컴플라이언스,갈등/문제해결 경험,1,법률 해석을 놓고 동료와 의견이 충돌했을 때 어떻게 해결하셨나요?,
법무/컴플라이언스,갈등/문제해결 경험,2,비즈니스 부서의 요구와 법률 리스크가 충돌할 때 어떻게 조율하셨나요?,
법무/컴플라이언스,갈등/문제해결 경험,3,경영진의 결정이 법률적으로 문제가 있을 때 어떻게 대응하셨나요?,
법무/컴플라이언스,갈등/문제해결 경험,4,급하게 계약 체결을 해야 하는데 법률 검토 시간이 부족할 때 어떻게 하셨나요?,
법무/컴플라이언스,갈등/문제해결 경험,5,외부 로펌과 의견이 다를 때 어떻게 합의점을 찾으셨나요?,
법무/컴플라이언스,갈등/문제해결 경험,6,복잡한 법률 이슈를 단시간에 해결해야 했던 경험이 있나요?,
법무/컴플라이언스,갈등/문제해결 경험,7,부서 간 이해관계가 충돌하는 법률 이슈를 중재한 경험이 있나요?,
법무/컴플라이언스,갈등/문제해결 경험,8,협력업체와 계약 조건을 놓고 협상이 어려웠던 경험을 말씀해 주세요.,
법무/컴플라이언스,갈등/문제해결 경험,9,컴플라이언스 강화가 비즈니스에 방해가 된다는 불만이 나올 때 어떻게 설득하셨나요?,
법무/컴플라이언스,갈등/문제해결 경험,10,법률 자문 내용이 받아들여지지 않았을 때 어떻게 대응하셨나요?,
법무/컴플라이언스,갈등/문제해결 경험,11,한정된 법무 인력으로 많은 업무를 처리해야 했던 상황에서 어떻게 우선순위를 정하셨나요?,
법무/컴플라이언스,갈등/문제해결 경험,12,법률 이슈로 프로젝트가 지연될 위기 상황에서 어떻게 대처하셨나요?,
법무/컴플라이언스,갈등/문제해결 경험,13,여러 이해관계자의 법률적 요구사항이 상충할 때 어떻게 조율하셨나요?,
법무/컴플라이언스,갈등/문제해결 경험,14,법률 자문이 비즈니스 관행과 맞지 않다는 반발이 있을 때 어떻게 하셨나요?,
법무/컴플라이언스,갈등/문제해결 경험,15,내부 감사에서 지적사항이 나왔을 때 어떻게 개선 방안을 마련하셨나요?,
법무/컴플라이언스,갈등/문제해결 경험,16,긴급 법률 이슈 발생 시 빠른 의사결정을 해야 했던 경험이 있나요?,
법무/컴플라이언스,갈등/문제해결 경험,17,소송 진행 중에 예상치 못한 변수가 생겼을 때 어떻게 대응하셨나요?,
법무/컴플라이언스,갈등/문제해결 경험,18,비협조적인 부서와 컴플라이언스 이슈를 논의해야 할 때 어떻게 설득하셨나요?,
법무/컴플라이언스,갈등/문제해결 경험,19,법률 비용과 리스크 회피 사이에서 균형을 맞춰야 했던 경험을 말씀해 주세요.,
법무/컴플라이언스,갈등/문제해결 경험,20,타 부서의 이해 부족으로 법률 이슈 해결이 어려웠던 상황을 어떻게 돌파하셨나요?,
법무/컴플라이언스,실패/극복 경험,1,법률 검토를 실수로 놓쳐서 문제가 된 경험이 있나요?,
법무/컴플라이언스,실패/극복 경험,2,계약서 검토 중에 중요한 조항을 빠뜨린 적이 있나요?,
법무/컴플라이언스,실패/극복 경험,3,잘못된 법률 자문으로 회사에 손해를 끼친 경험이 있나요?,
법무/컴플라이언스,실패/극복 경험,4,소송에서 패소한 경험에서 무엇을 배우셨나요?,
법무/컴플라이언스,실패/극복 경험,5,법률 리서치가 부족해서 오판한 경험이 있으신가요?,
법무/컴플라이언스,실패/극복 경험,6,컴플라이언스 위반 사례를 사전에 막지 못한 경험을 말씀해 주실 수 있나요?,
법무/컴플라이언스,실패/극복 경험,7,준법 교육이 효과가 없었던 이유는 뭐였다고 생각하시나요?,
법무/컴플라이언스,실패/극복 경험,8,법률 문서 작성 중에 실수해서 문제가 된 적이 있나요?,
법무/컴플라이언스,실패/극복 경험,9,법률 의견서를 잘못 작성해서 혼란이 생긴 경험이 있나요?,
법무/컴플라이언스,실패/극복 경험,10,판례 분석을 잘못해서 생긴 실수가 있나요?,
법무/컴플라이언스,실패/극복 경험,11,시간에 쫓겨 법률 검토를 대충 했던 경험이 있나요?,
법무/컴플라이언스,실패/극복 경험,12,법률 이슈 발견이 늦어져서 대응이 어려웠던 경험을 말씀해 주세요.,
법무/컴플라이언스,실패/극복 경험,13,새로운 법률 시스템 도입이 실패한 이유는 뭐였다고 생각하시나요?,
법무/컴플라이언스,실패/극복 경험,14,법률 자문이 비즈니스 현실을 반영하지 못해서 지적받은 경험이 있나요?,
법무/컴플라이언스,실패/극복 경험,15,커뮤니케이션 부족으로 법률 문제가 생긴 경험이 있으신가요?,
법무/컴플라이언스,실패/극복 경험,16,협상에서 불리한 조건을 수용할 수밖에 없었던 경험에서 무엇을 배우셨나요?,
법무/컴플라이언스,실패/극복 경험,17,법률 해석을 잘못해서 문제가 된 적이 있나요?,
법무/컴플라이언스,실패/극복 경험,18,내부 규정 정비를 잘못해서 혼란이 생긴 경험이 있나요?,
법무/컴플라이언스,실패/극복 경험,19,멀티태스킹하다가 중요한 법률 이슈를 놓친 적이 있나요?,
법무/컴플라이언스,실패/극복 경험,20,지금까지의 실패 경험 중에서 가장 큰 교훈은 뭐였나요?,
법무/컴플라이언스,목표,1,법무 컴플라이언스 전문가로서 5년 후 어떤 모습이 되고 싶으신가요?,
법무/컴플라이언스,목표,2,우리 회사에서 법무 담당자로 이루고 싶은 구체적인 목표가 있나요?,
법무/컴플라이언스,목표,3,입사 후 첫 1년 동안 집중하고 싶은 법무 영역은 뭔가요?,
법무/컴플라이언스,목표,4,법률 전문성을 키우기 위한 학습 계획이 있으신가요?,
법무/컴플라이언스,목표,5,변호사 자격증 취득이나 추가 학위 계획이 있으신가요?,
법무/컴플라이언스,목표,6,10년 후에는 어떤 역할을 맡고 있을 것 같으신가요?,
법무/컴플라이언스,목표,7,우리 회사의 준법 경영 수준을 어느 정도까지 끌어올리고 싶으신가요?,
법무/컴플라이언스,목표,8,특별히 전문성을 키우고 싶은 법률 분야가 있나요?,
법무/컴플라이언스,목표,9,법무 분야에서 본인만의 전문 영역을 만들고 싶으신가요?,
법무/컴플라이언스,목표,10,법무팀장이나 CCO로 성장하고 싶으신가요?,
법무/컴플라이언스,목표,11,컴플라이언스 혁신을 이끄는 리더가 되기 위해 어떤 준비를 하고 계신가요?,
법무/컴플라이언스,목표,12,법무 분야에서 본인의 경쟁력은 뭐라고 생각하시나요?,
법무/컴플라이언스,목표,13,입사 후 가장 먼저 이루고 싶은 성과는 무엇인가요?,
법무/컴플라이언스,목표,14,특정 산업 분야의 법률 전문가로 성장하고 싶으신가요?,
법무/컴플라이언스,목표,15,글로벌 법무 이슈를 다루는 전문가가 되고 싶은 목표가 있나요?,
법무/컴플라이언스,목표,16,우리 회사와 함께 장기적으로 성장할 계획이 있으신가요?,
법무/컴플라이언스,목표,17,업계에서 인정받는 법무 전문가가 되고 싶으신가요?,
법무/컴플라이언스,목표,18,ESG 법무 전문가로 성장하고 싶은 목표가 있나요?,
법무/컴플라이언스,목표,19,이 회사에서 본인의 커리어 최종 목표는 무엇인가요?,
법무/컴플라이언스,목표,20,법무 직무를 통해 개인적으로 얻고 싶은 것은 무엇인가요?,
