선택 직무,질문 구성,번호,질문,모범 답변
재무/회계,갈등/문제해결,10,부서 간 예산 배분에서 갈등이 있을 때 해결 방법은요?,
재무/회계,갈등/문제해결,11,본인의 분석이 틀렸을 때 어떻게 대처하시나요?,
재무/회계,갈등/문제해결,12,감사에서 지적사항이 나왔을 때 어떻게 개선하시겠어요?,
재무/회계,갈등/문제해결,13,회계 기준 해석에 대한 논란이 있을 때 어떻게 판단하시겠어요?,
재무/회계,갈등/문제해결,14,압박이 심한 상황에서 어떻게 감정을 관리하시나요?,
재무/회계,갈등/문제해결,15,실적이 예상보다 저조할 때 어떻게 동기부여를 유지하시나요?,
재무/회계,갈등/문제해결,16,약속한 보고 일정을 지키지 못하게 된 상황이라면 어떻게 하시겠어요?,
재무/회계,갈등/문제해결,17,프로젝트 리더 역할을 맡았을 때 갈등을 해결한 경험이 있나요?,
재무/회계,갈등/문제해결,18,"본인의 실수로 재무 오류가 발생한 경험이 있다면, 어떻게 수습하셨나요?",
재무/회계,갈등/문제해결,19,원칙과 현실 사이에서 갈등이 있을 때 어떻게 대응하시겠어요?,
재무/회계,갈등/문제해결,20,문제 해결 과정에서 가장 중요하게 생각하는 원칙은 무엇인가요?,
재무/회계,실패/극복,1,재무 업무에서 겪은 가장 큰 실패 경험과 그것을 극복한 과정을 말씀해 주시겠어요?,
재무/회계,실패/극복,2,재무 분석이 틀렸던 경험이 있나요? 원인은 무엇이었나요?,
재무/회계,실패/극복,3,재무 목표를 달성하지 못했을 때 어떻게 재기하셨나요?,
재무/회계,실패/극복,4,재무 실패로부터 배운 가장 중요한 교훈은 무엇인가요?,
재무/회계,실패/극복,5,포기하고 싶었던 순간을 이겨낸 경험이 있으신가요?,
재무/회계,실패/극복,6,예상과 다른 결과가 나왔을 때 어떻게 대응하시나요?,
재무/회계,실패/극복,7,부정적인 피드백을 받았을 때 어떻게 받아들이시나요?,
재무/회계,실패/극복,8,실패를 두려워하지 않기 위해 어떤 마인드셋을 가지고 계신가요?,
재무/회계,실패/극복,9,역경 속에서 성장한 경험을 구체적으로 말씀해 주시겠어요?,
재무/회계,실패/극복,10,실패 후 다시 도전했을 때 성공한 사례가 있나요?,
재무/회계,실패/극복,11,가장 힘들었던 시기를 어떻게 버텨내셨나요?,
재무/회계,실패/극복,12,실수를 인정하고 책임지는 것에 대해 어떻게 생각하시나요?,
재무/회계,실패/극복,13,본인의 한계를 느꼈던 순간과 극복 방법을 말씀해 주세요.,
재무/회계,실패/극복,14,같은 실수를 반복하지 않기 위해 어떤 노력을 하시나요?,
재무/회계,실패/극복,15,좌절감을 느꼈을 때 동기부여를 얻는 방법은 무엇인가요?,
재무/회계,실패/극복,16,실패 경험이 현재의 본인을 만드는 데 어떤 영향을 주었나요?,
재무/회계,실패/극복,17,계획이 틀어졌을 때 빠르게 회복하는 본인만의 방법이 있나요?,
재무/회계,실패/극복,18,실패를 성공의 밑거름으로 만든 구체적인 사례를 말씀해 주세요.,
재무/회계,실패/극복,19,지금까지의 실패 경험 중 가장 값진 배움을 준 것은 무엇인가요?,
재무/회계,실패/극복,20,앞으로 또 실패하게 된다면 어떻게 대처하실 건가요?,
재무/회계,목표,1,입사 후 1년 내에 달성하고 싶은 목표는 무엇인가요?,
재무/회계,목표,2,5년 후 재무 전문가로서 본인의 모습을 어떻게 그리고 계신가요?,
재무/회계,목표,3,재무 담당자로서 궁극적으로 이루고 싶은 것은 무엇인가요?,
재무/회계,목표,4,우리 회사에서 어떤 성과를 내고 싶으신가요?,
재무/회계,목표,5,커리어 목표를 달성하기 위해 현재 어떤 노력을 하고 계신가요?,
재무/회계,목표,6,본인만의 장기 커리어 플랜이 있으신가요?,
재무/회계,목표,7,"어떤 재무 전문가로 성장하고 싶으신가요? (예: CFO, 회계사 등)",
재무/회계,목표,8,10년 후에는 어떤 위치에 있고 싶으신가요?,
재무/회계,목표,9,입사 후 가장 먼저 도전해보고 싶은 재무 프로젝트는 무엇인가요?,
재무/회계,목표,10,본인의 목표와 우리 회사의 비전이 어떻게 연결되나요?,
재무/회계,목표,11,전문성을 키우기 위해 어떤 자격증이나 공부를 더 하고 싶으신가요?,
재무/회계,목표,12,롤모델이 있으신가요? 왜 그 사람을 롤모델로 삼으셨나요?,
재무/회계,목표,13,재무 분야에서 본인만의 강점을 살려 어떤 전문가가 되고 싶으신가요?,
재무/회계,목표,14,단기 목표와 장기 목표를 각각 말씀해 주시겠어요?,
재무/회계,목표,15,성공적인 커리어를 위해 가장 중요하다고 생각하는 것은 무엇인가요?,
재무/회계,목표,16,우리 회사에서 어떤 가치를 창출하고 싶으신가요?,
재무/회계,목표,17,목표 달성을 위해 희생할 수 있는 것과 없는 것은 무엇인가요?,
재무/회계,목표,18,퇴직할 때 어떤 재무 담당자로 기억되고 싶으신가요?,
재무/회계,목표,19,본인의 커리어에서 가장 중요하게 생각하는 가치는 무엇인가요?,
재무/회계,목표,20,앞으로 이 분야에서 어떤 영향력을 발휘하고 싶으신가요?,
